acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.740430,-0.046798,-0.718988,0.272154,0.011123,0.293877,4.000000,5.000000,7.000000
0.689516,-0.099385,-0.728629,0.072401,-0.096084,0.177507,4.000000,5.000000,7.000000
0.685395,-0.090218,-0.671265,0.077599,-0.097619,0.215091,4.000000,5.000000,7.000000
0.722974,-0.065131,-0.650295,0.001854,-0.041731,0.126530,4.000000,5.000000,7.000000
0.777766,-0.058618,-0.657285,0.092572,-0.044181,0.085317,4.000000,5.000000,7.000000
0.810012,-0.095525,-0.651018,0.045854,-0.060988,0.030051,4.000000,5.000000,7.000000
0.793526,-0.109999,-0.644510,-0.025610,-0.139496,-0.007818,4.000000,5.000000,7.000000
0.793283,-0.083223,-0.681388,-0.069296,-0.118750,-0.067986,4.000000,5.000000,7.000000
0.643936,-0.065855,-0.636315,-0.207668,-0.170694,-0.113814,4.000000,5.000000,7.000000
0.738975,-0.008443,-0.664516,0.100208,-0.047910,-0.065555,4.000000,5.000000,7.000000
0.665999,-0.072127,-0.626433,-0.025324,-0.006371,-0.101902,4.000000,5.000000,7.000000
0.703093,-0.027017,-0.608356,0.037284,0.118857,0.019342,4.000000,5.000000,7.000000
0.779706,-0.079846,-0.634146,0.079742,0.196142,0.028201,4.000000,5.000000,7.000000
0.791828,-0.090218,-0.636315,0.032400,0.116118,0.000101,4.000000,5.000000,7.000000
0.791101,-0.086359,-0.661865,0.060811,0.129882,0.017205,4.000000,5.000000,7.000000
0.756431,-0.040043,-0.635833,0.120681,0.003454,-0.017614,4.000000,5.000000,7.000000
0.858743,-0.139187,-0.704768,0.032726,0.153421,-0.002344,4.000000,5.000000,7.000000
0.756431,-0.111205,-0.631013,-0.050962,-0.013650,0.012317,4.000000,5.000000,7.000000
0.696547,-0.060548,-0.657285,0.033333,0.032163,-0.109550,4.000000,5.000000,7.000000
0.790374,-0.164757,-0.669577,0.049218,0.002234,0.023915,4.000000,5.000000,7.000000
0.772190,-0.164034,-0.610043,-0.116323,0.009869,-0.028014,4.000000,5.000000,7.000000
0.732429,-0.009890,-0.705250,-0.361595,0.062710,-0.045426,4.000000,5.000000,7.000000
0.795950,0.099788,-0.794912,0.235831,-0.046330,-0.135223,4.000000,5.000000,7.000000
0.683213,-0.072609,-0.750081,0.548900,-0.172474,-0.181038,4.000000,5.000000,7.000000
0.648058,-0.125679,-0.515801,0.237358,-0.313889,-0.169126,4.000000,5.000000,7.000000
0.319301,-0.495960,-0.229941,0.374803,-0.102835,0.068195,4.000000,5.000000,7.000000
0.387429,-0.373659,-0.117381,-1.174962,0.938385,0.263061,4.000000,5.000000,7.000000
0.978754,0.138877,-0.583771,-0.755603,2.208679,0.781991,4.000000,5.000000,7.000000
0.784555,0.254689,-1.619953,0.113658,1.616751,0.414861,4.000000,5.000000,7.000000
0.737278,-0.025570,-1.130183,0.142980,0.099667,0.110650,4.000000,5.000000,7.000000
0.560777,-0.116512,-0.709347,-0.003017,-0.249443,-0.045426,4.000000,5.000000,7.000000
0.554959,-0.117959,-0.765748,-0.118471,-0.060685,-0.096433,4.000000,5.000000,7.000000
0.540897,-0.037149,-0.790815,-0.028072,0.062094,-0.066509,4.000000,5.000000,7.000000
0.576779,-0.095525,-0.760445,-0.090078,0.124713,0.042831,4.000000,5.000000,7.000000
0.563687,0.145190,-0.855893,0.191829,0.095401,0.021149,4.000000,5.000000,7.000000
0.602478,-0.404536,-0.671265,0.262689,0.151907,0.051081,4.000000,5.000000,7.000000
0.640785,-0.118683,-0.689342,-0.965150,0.280188,0.035809,4.000000,5.000000,7.000000
0.485134,0.360790,-1.552706,-0.532657,0.116476,-0.219532,4.000000,5.000000,7.000000
0.954994,0.695844,-1.742878,1.148750,-1.558211,-0.597658,4.000000,5.000000,7.000000
0.469860,-0.088047,-0.594617,3.424222,-3.259776,-1.330085,4.000000,5.000000,7.000000
-0.446032,-1.982394,0.695023,0.983205,-1.990703,-1.287325,4.000000,5.000000,7.000000
-0.061956,-1.058740,0.947006,-3.696023,2.183339,0.752354,4.000000,5.000000,7.000000
1.190652,0.233809,-0.975443,-1.736367,4.793261,1.972558,4.000000,5.000000,7.000000
-0.147855,0.943006,-2.469338,-0.236082,2.926762,1.362303,4.000000,5.000000,7.000000
0.253841,0.414690,-2.150216,1.591932,0.213909,0.164091,4.000000,5.000000,7.000000
0.677879,-0.235195,-0.541109,0.362261,-1.661142,-1.066803,4.000000,5.000000,7.000000
0.553746,-0.205524,-0.321773,-0.193016,-1.281794,-0.408901,4.000000,5.000000,7.000000
0.508409,-0.124714,-0.649090,-0.244329,-0.367940,-0.134927,4.000000,5.000000,7.000000
0.598841,-0.012061,-0.887467,0.251694,0.071578,0.004350,4.000000,5.000000,7.000000
0.595205,-0.167411,-0.692234,0.148152,0.223072,-0.097359,4.000000,5.000000,7.000000
0.560777,-0.105174,-0.723809,-0.740046,0.234373,-0.017336,4.000000,5.000000,7.000000
0.611933,0.254689,-1.312160,-0.451412,0.223989,0.026646,4.000000,5.000000,7.000000
0.715943,0.550411,-1.463043,0.371118,-0.943680,-0.667602,4.000000,5.000000,7.000000
0.935114,-0.176577,-1.274318,1.667985,-2.368829,-1.367348,4.000000,5.000000,7.000000
0.325605,-0.445544,-0.205115,0.225427,-3.290625,-1.870090,4.000000,5.000000,7.000000
0.263781,-0.361115,-0.025790,0.011013,-2.093940,-0.755261,4.000000,5.000000,7.000000
0.640057,-0.231336,-0.391430,0.167700,-0.332815,-0.154781,4.000000,5.000000,7.000000
0.817043,-0.133880,-0.492903,0.001239,0.200776,-0.039022,4.000000,5.000000,7.000000
0.825528,-0.159933,-0.444216,-0.170414,0.172371,0.050165,4.000000,5.000000,7.000000
0.918628,0.064097,-0.684521,0.274601,0.148241,0.079181,4.000000,5.000000,7.000000
0.737521,-0.126644,-0.563525,0.584921,-0.095188,-0.128819,4.000000,5.000000,7.000000
0.361487,-0.623569,-0.234039,0.306977,0.395947,0.242893,4.000000,5.000000,7.000000
0.275176,-0.370523,-0.074719,-1.280356,1.580109,0.777400,4.000000,5.000000,7.000000
1.261446,0.272656,-0.924827,-0.539071,2.735561,1.215696,4.000000,5.000000,7.000000
1.027243,0.202732,-1.536075,0.495429,1.370583,0.976236,4.000000,5.000000,7.000000
0.693638,-0.018574,-0.879513,-0.014949,-0.086942,0.135380,4.000000,5.000000,7.000000
0.657998,-0.118442,-0.718506,0.001850,-0.258595,-0.095832,4.000000,5.000000,7.000000
0.633754,-0.088771,-0.623300,-0.097721,-0.082971,-0.050628,4.000000,5.000000,7.000000
0.656301,-0.140876,-0.691752,-0.199744,0.102725,0.033362,4.000000,5.000000,7.000000
0.782131,0.087891,-0.920729,-0.492348,0.112499,0.015952,4.000000,5.000000,7.000000
0.905293,0.303491,-1.188512,0.456326,-0.473321,-0.349040,4.000000,5.000000,7.000000
1.003484,-0.048486,-0.856134,1.082768,-1.555469,-0.713421,4.000000,5.000000,7.000000
0.453859,-0.260283,-0.461811,-0.298093,-2.184049,-1.245790,4.000000,5.000000,7.000000
0.508409,-0.249669,-0.254526,0.608736,-1.501407,-0.732358,4.000000,5.000000,7.000000
0.636178,-0.252322,-0.385646,0.400737,-0.415594,-0.247636,4.000000,5.000000,7.000000
0.843954,-0.229888,-0.486637,0.132567,0.088064,-0.163337,4.000000,5.000000,7.000000
0.833044,-0.046557,-0.476514,0.108743,0.143347,-0.048189,4.000000,5.000000,7.000000
0.780676,-0.228200,-0.432646,0.020168,0.127770,0.049855,4.000000,5.000000,7.000000
0.912809,-0.153902,-0.501822,-0.098035,0.121967,0.201350,4.000000,5.000000,7.000000
0.865289,-0.114341,-0.604741,-0.134687,0.037057,0.172333,4.000000,5.000000,7.000000
0.594235,-0.311905,-0.372389,0.147533,-0.000511,0.127740,4.000000,5.000000,7.000000
0.545503,-0.428417,-0.241993,-0.603526,0.894406,0.510753,4.000000,5.000000,7.000000
0.773403,-0.100591,-0.527853,-0.802668,1.786575,0.968902,4.000000,5.000000,7.000000
0.981906,0.205403,-1.088967,-0.176836,1.613089,0.835428,4.000000,5.000000,7.000000
0.883958,0.141791,-0.953750,0.255962,0.503758,0.251135,4.000000,5.000000,7.000000
0.696305,0.026222,-0.705732,-0.062910,-0.196294,-0.063766,4.000000,5.000000,7.000000
0.589871,0.138877,-0.768881,0.504278,-0.278455,-0.176165,4.000000,5.000000,7.000000
0.513985,-0.550478,-0.372630,1.456007,0.046831,0.009232,4.000000,5.000000,7.000000
0.357365,-1.030276,0.141100,-1.423918,1.234047,0.423399,4.000000,5.000000,7.000000
0.707942,0.032777,-0.410713,-2.293790,2.759378,1.081301,4.000000,5.000000,7.000000
0.312998,0.703613,-1.576086,-0.334745,2.745939,0.883991,4.000000,5.000000,7.000000
0.468890,-0.027741,-1.552947,0.905312,1.229466,0.664385,4.000000,5.000000,7.000000
0.445373,-0.142082,-0.765989,-0.872001,-0.091530,0.037332,4.000000,5.000000,7.000000
0.251901,0.216814,-1.454849,-0.873528,-0.122379,-0.025587,4.000000,5.000000,7.000000
0.347183,0.764554,-1.978604,1.490826,-1.305014,-0.608658,4.000000,5.000000,7.000000
0.664544,-0.404536,-1.135245,2.374748,-2.842867,-1.466618,4.000000,5.000000,7.000000
0.346698,-0.505851,0.289999,-0.536330,-3.016048,-1.596427,4.000000,5.000000,7.000000
0.281965,-0.475456,-0.027477,-0.276102,-1.062806,-0.493815,4.000000,5.000000,7.000000
0.717640,-0.355567,-0.526648,-0.521975,0.446031,0.045274,4.000000,5.000000,7.000000
0.847591,-0.065131,-0.802866,-0.919343,0.556598,0.025420,4.000000,5.000000,7.000000
0.973663,0.667680,-1.335057,-0.514339,-0.011201,-0.115384,4.000000,5.000000,7.000000
1.074763,0.715753,-1.160553,3.160626,-1.535310,-0.324605,4.000000,5.000000,7.000000
-0.260412,-1.179112,-0.138109,3.656038,-1.848990,-0.750989,4.000000,5.000000,7.000000
-0.538595,-2.184300,0.986972,-3.917775,1.012609,0.899874,4.000000,5.000000,7.000000
0.803708,0.486799,-0.437708,-3.083638,4.935280,1.916048,4.000000,5.000000,7.000000
0.569990,0.664038,-2.303269,-0.185083,4.264855,1.658874,4.000000,5.000000,7.000000
-0.009133,1.171231,-3.335113,0.924859,1.227633,0.990893,4.000000,5.000000,7.000000
0.674242,0.125281,-1.324934,1.432488,-2.948241,-1.537784,4.000000,5.000000,7.000000
0.610236,-0.378725,-0.436503,0.899508,-3.074385,-1.800456,4.000000,5.000000,7.000000
0.271782,-0.536728,0.105033,0.224502,-2.521552,-1.039012,4.000000,5.000000,7.000000
0.416280,-0.466048,-0.067488,-0.989287,-0.734160,-0.600716,4.000000,5.000000,7.000000
0.752795,-0.009890,-0.709829,-0.507925,0.599969,-0.038720,4.000000,5.000000,7.000000
1.100462,0.323885,-1.057392,-0.894603,0.149762,-0.197240,4.000000,5.000000,7.000000
1.134162,1.039152,-1.219605,2.047324,-1.314788,-0.119355,4.000000,5.000000,7.000000
-0.113051,-1.576894,-0.617756,4.407096,-1.345942,-0.597968,4.000000,5.000000,7.000000
-0.351000,-1.795444,1.103947,-4.147155,1.520543,0.484791,4.000000,5.000000,7.000000
0.682243,0.612566,-0.381789,-2.649619,5.221470,1.733400,4.000000,5.000000,7.000000
0.628662,0.538271,-2.503082,-0.487767,3.685755,1.891614,4.000000,5.000000,7.000000
0.217716,0.967771,-3.015509,1.843295,0.555987,1.263033,4.000000,5.000000,7.000000
0.721034,-0.329032,-1.166337,1.621551,-2.982145,-1.560997,4.000000,5.000000,7.000000
0.466466,-0.383790,-0.237654,-0.072073,-3.115313,-1.404004,4.000000,5.000000,7.000000
0.385247,-0.222651,0.084075,-0.013124,-1.824860,-0.649280,4.000000,5.000000,7.000000
0.513985,-0.182126,-0.441323,0.099275,-0.554261,-0.152036,4.000000,5.000000,7.000000
0.696790,-0.128573,-0.662106,0.046130,0.020258,0.085896,4.000000,5.000000,7.000000
0.742854,-0.011579,-0.685003,-0.034199,0.177861,0.061767,4.000000,5.000000,7.000000
0.831347,-0.024123,-0.731040,0.061093,0.209641,-0.050322,4.000000,5.000000,7.000000
0.723701,-0.059824,-0.564248,0.010086,0.052954,0.003740,4.000000,5.000000,7.000000
0.832317,0.084249,-0.672952,0.077587,0.074339,0.144850,4.000000,5.000000,7.000000
0.815588,0.057785,-0.799974,0.193957,-0.119305,0.118277,4.000000,5.000000,7.000000
0.787222,-0.131709,-0.698742,0.454186,-0.290347,-0.057652,4.000000,5.000000,7.000000
0.457253,-0.663854,-0.268988,-0.000909,-0.051499,0.003740,4.000000,5.000000,7.000000
0.540897,-0.326861,-0.184628,-1.181712,1.148546,0.361096,4.000000,5.000000,7.000000
0.757159,0.355448,-0.805036,-0.950194,1.948474,0.938364,4.000000,5.000000,7.000000
0.403672,0.460335,-1.443279,-0.010072,1.460087,0.531528,4.000000,5.000000,7.000000
0.641512,0.080607,-1.019551,0.235190,0.246603,0.108504,4.000000,5.000000,7.000000
0.491680,0.030106,-0.704527,-0.021679,-0.201772,-0.067426,4.000000,5.000000,7.000000
0.551564,0.048801,-0.880236,0.230303,0.151308,-0.056430,4.000000,5.000000,7.000000
0.556898,-0.272344,-0.611972,0.368970,0.055402,0.016874,4.000000,5.000000,7.000000
0.636905,-0.406948,-0.292609,-0.324668,0.669322,0.161038,4.000000,5.000000,7.000000
0.665999,0.106100,-0.662347,-0.919650,1.449397,0.561766,4.000000,5.000000,7.000000
0.192502,0.414933,-1.364945,-0.114530,1.426489,0.703181,4.000000,5.000000,7.000000
0.434221,-0.034254,-1.357232,0.507636,0.660464,0.341854,4.000000,5.000000,7.000000
0.531926,-0.084429,-0.733450,-0.047335,-0.045696,0.052915,4.000000,5.000000,7.000000
0.495559,-0.000724,-1.083182,-0.454782,0.057235,0.173561,4.000000,5.000000,7.000000
0.207049,0.457664,-1.428094,-0.204327,-0.528279,-0.243660,4.000000,5.000000,7.000000
0.606115,-0.000724,-1.372658,1.250754,-1.116543,-0.619342,4.000000,5.000000,7.000000
0.590113,-0.321795,-0.327317,0.121875,-1.675179,-0.987083,4.000000,5.000000,7.000000
0.418462,-0.150766,-0.350456,-0.207382,-0.792173,-0.310245,4.000000,5.000000,7.000000
0.527562,0.150774,-0.888913,0.080031,0.083807,-0.053681,4.000000,5.000000,7.000000
0.542836,-0.303945,-0.720917,1.023512,0.059678,0.221514,4.000000,5.000000,7.000000
0.567323,-0.487518,-0.138109,-1.021665,0.818068,0.336356,4.000000,5.000000,7.000000
0.737036,0.157330,-0.540386,-0.432791,1.730395,0.950581,4.000000,5.000000,7.000000
0.192260,0.392838,-1.658518,0.018639,1.690994,0.435011,4.000000,5.000000,7.000000
0.473982,0.022823,-1.478469,0.612400,0.374274,0.157067,4.000000,5.000000,7.000000
0.510106,-0.191775,-0.645716,-0.198524,-0.078988,-0.028636,4.000000,5.000000,7.000000
0.340152,0.021609,-0.811543,-0.546717,0.150392,0.133244,4.000000,5.000000,7.000000
0.334575,0.377542,-1.655384,-0.378729,-0.142213,0.007405,4.000000,5.000000,7.000000
0.319544,0.243278,-1.508839,1.436762,-1.065841,-0.772059,4.000000,5.000000,7.000000
0.624541,-0.488241,-0.752250,0.438608,-2.059108,-1.018848,4.000000,5.000000,7.000000
0.333121,-0.124714,0.210798,-0.851234,-1.618063,-0.453492,4.000000,5.000000,7.000000
0.528290,0.203460,-0.877103,0.007643,0.183989,-0.061622,4.000000,5.000000,7.000000
0.602963,-0.108069,-0.951581,1.750136,0.192847,0.225484,4.000000,5.000000,7.000000
0.438100,-0.795081,-0.052062,-1.077559,0.337622,0.061467,4.000000,5.000000,7.000000
0.805163,0.069681,-0.167756,-1.177436,1.505902,0.870863,4.000000,5.000000,7.000000
