acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.824559,-0.453505,-0.293814,-0.251953,-0.161606,0.006001,2.000000,4.000000,4.000000
0.812679,-0.415150,-0.292127,-0.131307,-0.149694,0.036239,2.000000,4.000000,4.000000
0.875472,-0.461465,-0.271398,-0.070831,-0.107239,0.010582,2.000000,4.000000,4.000000
0.844197,-0.443373,-0.262239,-0.113366,-0.130938,0.012010,2.000000,4.000000,4.000000
0.852440,-0.470873,-0.263444,-0.045895,-0.103926,0.031771,2.000000,4.000000,4.000000
0.809042,-0.452781,-0.260793,-0.100879,-0.118719,-0.009910,2.000000,4.000000,4.000000
0.844197,-0.443132,-0.212105,-0.118791,-0.110363,-0.007331,2.000000,4.000000,4.000000
0.850743,-0.435654,-0.234039,-0.055363,-0.094966,-0.000587,2.000000,4.000000,4.000000
0.830620,-0.450610,-0.241029,-0.016415,-0.090967,-0.020304,2.000000,4.000000,4.000000
0.837651,-0.476421,-0.238618,-0.020594,-0.100296,-0.025982,2.000000,4.000000,4.000000
0.842984,-0.446992,-0.220782,-0.050168,-0.074224,-0.009513,2.000000,4.000000,4.000000
0.845166,-0.415632,-0.213792,-0.002188,-0.029786,0.020131,2.000000,4.000000,4.000000
0.860925,-0.476662,-0.225362,0.080270,-0.092820,-0.016300,2.000000,4.000000,4.000000
0.812436,-0.426970,-0.221023,0.015964,-0.053029,-0.047660,2.000000,4.000000,4.000000
0.926871,-0.455193,-0.226808,0.053687,0.024772,0.013458,2.000000,4.000000,4.000000
0.850743,-0.463877,-0.222710,0.183496,0.054093,0.042169,2.000000,4.000000,4.000000
0.864320,-0.461706,-0.207044,0.111719,0.019885,-0.011893,2.000000,4.000000,4.000000
0.851228,-0.472320,-0.219818,0.066287,0.063291,-0.008736,2.000000,4.000000,4.000000
0.864077,-0.472562,-0.231628,0.125758,0.042076,-0.029044,2.000000,4.000000,4.000000
0.877412,-0.438549,-0.262962,-0.033328,0.095090,-0.054394,2.000000,4.000000,4.000000
0.796920,-0.438307,-0.225603,0.279435,0.099061,0.046704,2.000000,4.000000,4.000000
0.846864,-0.463395,-0.266337,0.169785,0.161064,-0.055311,2.000000,4.000000,4.000000
0.802738,-0.460500,-0.239823,0.080293,0.144876,-0.040955,2.000000,4.000000,4.000000
0.864077,-0.466290,-0.285860,0.088539,0.197105,-0.041566,2.000000,4.000000,4.000000
0.750613,-0.403330,-0.274050,0.105644,0.298508,-0.045537,2.000000,4.000000,4.000000
0.868199,-0.420457,-0.424692,0.180780,0.322027,-0.002165,2.000000,4.000000,4.000000
0.659695,-0.494754,-0.137145,0.296844,0.361733,0.147497,2.000000,4.000000,4.000000
0.545746,-0.384273,-0.084842,0.132522,0.936252,-0.087686,2.000000,4.000000,4.000000
0.857289,-0.600170,-0.170166,0.094953,1.843387,-0.332949,2.000000,4.000000,4.000000
0.972208,-0.488724,-0.788163,-0.319824,1.949372,-0.380291,2.000000,4.000000,4.000000
0.786979,-0.563262,-0.984843,-0.128623,1.099964,-0.288050,2.000000,4.000000,4.000000
0.748431,-0.452540,-0.682352,0.161843,0.306755,-0.031487,2.000000,4.000000,4.000000
0.712306,-0.629358,-0.547617,0.285849,0.174808,0.079385,2.000000,4.000000,4.000000
0.737036,-0.487276,-0.604982,-0.248658,0.028200,0.020742,2.000000,4.000000,4.000000
0.754734,-0.598481,-0.538217,0.363734,0.067907,0.079080,2.000000,4.000000,4.000000
1.083976,-0.525872,-0.796599,-0.943823,0.203519,0.026240,2.000000,4.000000,4.000000
1.106038,-0.279098,-1.014489,0.842958,-1.141606,0.325869,2.000000,4.000000,4.000000
0.619207,-0.963939,-0.888672,0.677108,-2.561257,0.229353,2.000000,4.000000,4.000000
0.219898,-0.013267,0.397470,0.258360,-2.394491,0.404366,2.000000,4.000000,4.000000
0.600054,-0.424075,-0.178361,0.136492,-0.543569,0.017077,2.000000,4.000000,4.000000
0.691698,-0.295743,-0.385646,0.167646,0.060576,0.018910,2.000000,4.000000,4.000000
0.780191,-0.379448,-0.311891,0.221708,0.124412,0.016466,2.000000,4.000000,4.000000
0.797405,-0.371488,-0.352866,0.141074,0.205657,0.046704,2.000000,4.000000,4.000000
0.861168,-0.408637,-0.316953,0.351211,0.239865,0.082745,2.000000,4.000000,4.000000
0.921537,-0.468702,-0.373835,0.255306,0.297897,0.074498,2.000000,4.000000,4.000000
0.818497,-0.504645,-0.429995,0.255611,0.166256,0.087937,2.000000,4.000000,4.000000
0.843954,-0.298879,-0.390225,0.049749,0.264911,-0.007968,2.000000,4.000000,4.000000
0.871351,-0.377277,-0.378174,0.236063,0.220928,0.099849,2.000000,4.000000,4.000000
0.892443,-0.278857,-0.625951,0.402219,0.134186,0.279138,2.000000,4.000000,4.000000
