acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.860441,-0.409119,-0.300322,0.060154,-0.148185,-0.032057,1.000000,4.000000,4.000000
0.876442,-0.448680,-0.277183,-0.032994,-0.144238,-0.018012,1.000000,4.000000,4.000000
0.882018,-0.392716,-0.285619,-0.068435,-0.140903,0.013752,1.000000,4.000000,4.000000
0.876442,-0.415150,-0.298875,-0.011634,-0.099387,0.013754,1.000000,4.000000,4.000000
0.850015,-0.409602,-0.250670,-0.103876,-0.129328,0.027194,1.000000,4.000000,4.000000
0.852440,-0.384273,-0.275014,-0.048001,-0.071620,0.035446,1.000000,4.000000,4.000000
0.865289,-0.408878,-0.251393,-0.061139,-0.069187,0.016515,1.000000,4.000000,4.000000
0.851228,-0.382343,-0.269470,-0.019308,-0.035906,0.010103,1.000000,4.000000,4.000000
0.866502,-0.371005,-0.247295,-0.033361,-0.014224,-0.021356,1.000000,4.000000,4.000000
0.870381,-0.408395,-0.249706,0.097977,0.041059,-0.018305,1.000000,4.000000,4.000000
0.853652,-0.356773,-0.218613,-0.129258,0.028541,-0.030831,1.000000,4.000000,4.000000
0.835469,-0.371970,-0.269952,0.196333,0.118643,0.047665,1.000000,4.000000,4.000000
0.881291,-0.400917,-0.230905,0.097984,0.096652,-0.077562,1.000000,4.000000,4.000000
0.865047,-0.421180,-0.255972,0.069904,0.119577,-0.042143,1.000000,4.000000,4.000000
0.917415,-0.396334,-0.249224,0.147795,0.126918,-0.058640,1.000000,4.000000,4.000000
0.898505,-0.411290,-0.277906,0.147795,0.154101,-0.026264,1.000000,4.000000,4.000000
0.825286,-0.387409,-0.281280,0.019208,0.137608,-0.070552,1.000000,4.000000,4.000000
0.843712,-0.398264,-0.258624,0.235156,0.150765,-0.047351,1.000000,4.000000,4.000000
0.876200,-0.390786,-0.276942,0.039679,0.151987,-0.126764,1.000000,4.000000,4.000000
0.819710,-0.388132,-0.293814,0.306631,0.177351,-0.023840,1.000000,4.000000,4.000000
0.827953,-0.363286,-0.277183,0.146890,0.213392,-0.058049,1.000000,4.000000,4.000000
0.863350,-0.416115,-0.325148,0.414449,0.329762,-0.044610,1.000000,4.000000,4.000000
0.845651,-0.416597,-0.302491,0.101381,0.208200,-0.087676,1.000000,4.000000,4.000000
0.821164,-0.367628,-0.343225,0.353057,0.281198,-0.055605,1.000000,4.000000,4.000000
0.904081,-0.493307,-0.431682,0.320376,0.264094,-0.122801,1.000000,4.000000,4.000000
0.891716,-0.356532,-0.311409,0.198508,0.176129,-0.157009,1.000000,4.000000,4.000000
0.890504,-0.536728,-0.416497,0.380241,0.195371,-0.072404,1.000000,4.000000,4.000000
0.914991,-0.383067,-0.381307,-0.156099,0.049375,-0.165561,1.000000,4.000000,4.000000
0.781403,-0.386685,-0.396733,0.384211,0.064952,-0.012845,1.000000,4.000000,4.000000
0.908930,-0.356291,-0.393118,0.002726,0.234772,-0.063547,1.000000,4.000000,4.000000
0.851713,-0.479316,-0.379620,0.626725,0.161468,0.207067,1.000000,4.000000,4.000000
0.430826,-0.883128,0.223957,-0.209244,0.342590,-0.004904,1.000000,4.000000,4.000000
0.336757,-0.391510,0.547587,-1.386687,1.958939,-0.266659,1.000000,4.000000,4.000000
1.276235,-0.410084,-1.011115,-0.709543,3.507788,-0.226342,1.000000,4.000000,4.000000
