acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.537503,-0.791945,-0.217408,-0.029055,-0.007689,0.010599,1.000000,3.000000,2.000000
0.540654,-0.788567,-0.226326,-0.007676,-0.000970,0.002047,1.000000,3.000000,2.000000
0.531199,-0.792668,-0.215721,0.001486,-0.015326,-0.020250,1.000000,3.000000,2.000000
0.539927,-0.783743,-0.210659,0.038444,-0.014412,-0.012617,1.000000,3.000000,2.000000
0.523441,-0.804488,-0.201741,0.008824,-0.010444,-0.036139,1.000000,3.000000,2.000000
0.541382,-0.784467,-0.219577,0.018294,0.005742,-0.025759,1.000000,3.000000,2.000000
0.533623,-0.804488,-0.216203,0.049452,0.001467,-0.028208,1.000000,3.000000,2.000000
0.533381,-0.790015,-0.201018,0.008226,-0.068477,-0.027908,1.000000,3.000000,2.000000
0.523441,-0.792427,-0.213310,0.071147,-0.013198,-0.036770,1.000000,3.000000,2.000000
0.525623,-0.862865,-0.191859,0.011905,0.020397,-0.045328,1.000000,3.000000,2.000000
0.547443,-0.797010,-0.237172,0.071465,0.084538,-0.023948,1.000000,3.000000,2.000000
0.533623,-0.787120,-0.185592,0.061398,-0.031215,-0.044416,1.000000,3.000000,2.000000
0.548413,-0.839466,-0.191377,0.046749,-0.016253,-0.046868,1.000000,3.000000,2.000000
0.541382,-0.803041,-0.197884,-0.030523,-0.039775,-0.030687,1.000000,3.000000,2.000000
0.526835,-0.804247,-0.205838,0.025674,-0.041003,-0.003508,1.000000,3.000000,2.000000
0.519319,-0.730673,-0.213069,-0.018306,-0.035513,-0.023363,1.000000,3.000000,2.000000
0.498226,-0.804730,-0.201018,0.151818,-0.013219,-0.053908,1.000000,3.000000,2.000000
0.520046,-0.739116,-0.220300,0.073344,0.002662,-0.037729,1.000000,3.000000,2.000000
0.540654,-0.794116,-0.215721,0.277088,-0.004362,-0.025823,1.000000,3.000000,2.000000
0.554474,-0.794839,-0.219577,0.207754,-0.004057,-0.006886,1.000000,3.000000,2.000000
0.538230,-0.788326,-0.183664,0.315590,-0.037960,0.021824,1.000000,3.000000,2.000000
0.543321,-0.843808,-0.190895,0.207772,0.004800,-0.042012,1.000000,3.000000,2.000000
0.543079,-0.783743,-0.218372,0.135415,0.010605,0.003492,1.000000,3.000000,2.000000
0.540654,-0.805695,-0.210177,0.112228,0.022213,0.002272,1.000000,3.000000,2.000000
0.530957,-0.791462,-0.213551,0.083840,0.027714,0.006243,1.000000,3.000000,2.000000
0.548655,-0.795322,-0.228736,0.095766,0.034439,-0.005057,1.000000,3.000000,2.000000
0.542594,-0.807624,-0.228495,0.107386,0.011537,-0.012695,1.000000,3.000000,2.000000
0.541139,-0.782778,-0.217167,0.011794,0.019479,-0.004754,1.000000,3.000000,2.000000
0.546716,-0.797010,-0.229459,0.060362,0.027729,-0.023998,1.000000,3.000000,2.000000
0.536533,-0.786155,-0.232593,0.010890,0.017654,-0.026751,1.000000,3.000000,2.000000
0.547443,-0.777471,-0.225121,0.039909,0.023155,-0.005680,1.000000,3.000000,2.000000
0.550352,-0.772405,-0.227772,0.062516,0.015217,-0.032559,1.000000,3.000000,2.000000
0.539442,-0.795804,-0.221987,0.031993,0.010027,-0.025845,1.000000,3.000000,2.000000
0.535805,-0.792186,-0.222228,0.058571,0.018581,0.009275,1.000000,3.000000,2.000000
0.539442,-0.760827,-0.231387,0.099809,0.030189,-0.025849,1.000000,3.000000,2.000000
0.519077,-0.748765,-0.230423,0.039046,0.016450,-0.066172,1.000000,3.000000,2.000000
0.541382,-0.788567,-0.236931,0.185055,0.076623,-0.014863,1.000000,3.000000,2.000000
0.535321,-0.763480,-0.250188,0.218058,0.085181,-0.025555,1.000000,3.000000,2.000000
0.523441,-0.715717,-0.233557,0.129177,0.075713,-0.012116,1.000000,3.000000,2.000000
0.545746,-0.774094,-0.263685,0.296875,0.124896,-0.010590,1.000000,3.000000,2.000000
0.557868,-0.781813,-0.274291,0.250754,0.116038,0.012623,1.000000,3.000000,2.000000
0.565869,-0.805695,-0.225362,0.298402,0.101377,0.048970,1.000000,3.000000,2.000000
0.564899,-0.788567,-0.294296,0.249533,0.097407,-0.003259,1.000000,3.000000,2.000000
0.514470,-0.788085,-0.249706,0.234872,0.138946,-0.003259,1.000000,3.000000,2.000000
0.563929,-0.760827,-0.365640,0.106285,0.126423,-0.028000,1.000000,3.000000,2.000000
0.527562,-0.718371,-0.177397,0.194555,0.036931,-0.001427,1.000000,3.000000,2.000000
0.749400,-0.726331,-0.598474,0.180505,0.207057,-0.099776,1.000000,3.000000,2.000000
0.042913,-0.845256,0.089437,0.557409,-0.413582,0.310114,1.000000,3.000000,2.000000
0.062551,-0.829576,0.933359,-0.301773,1.640758,-0.029221,1.000000,3.000000,2.000000
0.356638,-0.979136,-0.045554,-1.721424,2.870124,-0.718277,1.000000,3.000000,2.000000
0.372397,-0.757691,-0.708383,-0.074531,3.674328,-0.468128,1.000000,3.000000,2.000000
0.392520,-0.873479,-1.547403,-0.416310,2.122730,-0.232334,1.000000,3.000000,2.000000
0.286329,-0.721989,-0.697296,-0.494501,0.408337,-0.062513,1.000000,3.000000,2.000000
0.259417,-0.757449,-0.516283,-0.242519,0.046400,-0.069844,1.000000,3.000000,2.000000
0.260144,-0.838984,-0.375041,-0.149973,-0.004913,-0.087559,1.000000,3.000000,2.000000
0.260144,-0.796045,-0.423246,-0.157304,0.085495,-0.068927,1.000000,3.000000,2.000000
0.224747,-0.775300,-0.366363,-0.037886,0.086723,-0.094895,1.000000,3.000000,2.000000
0.261842,-0.914729,-0.422041,0.095286,0.147523,-0.126066,1.000000,3.000000,2.000000
0.258690,-0.724643,-0.403482,-0.316437,0.040011,-0.147752,1.000000,3.000000,2.000000
0.399551,-1.037754,-1.073300,0.427902,-0.080940,0.047725,1.000000,3.000000,2.000000
0.117829,-0.860935,-1.205143,0.580619,-1.566870,0.056583,1.000000,3.000000,2.000000
0.615085,-1.012184,-0.981709,2.202771,-2.641993,0.657980,1.000000,3.000000,2.000000
0.089947,-0.829335,0.525410,0.490516,-3.438256,0.289933,1.000000,3.000000,2.000000
0.196866,-0.781572,0.435243,-0.144479,-1.830764,-0.107434,1.000000,3.000000,2.000000
0.473739,-0.735739,-0.131120,-0.069342,-0.408670,-0.176157,1.000000,3.000000,2.000000
0.437372,-0.784467,-0.243198,0.055885,-0.082162,-0.078724,1.000000,3.000000,2.000000
0.520289,-0.766375,-0.271157,0.013125,0.017103,-0.076891,1.000000,3.000000,2.000000
0.515440,-0.795081,-0.303214,0.055891,0.027493,-0.057051,1.000000,3.000000,2.000000
0.520289,-0.799423,-0.280798,0.044597,0.015584,-0.055221,1.000000,3.000000,2.000000
0.517137,-0.781089,-0.290198,-0.010984,-0.003961,-0.030183,1.000000,3.000000,2.000000
0.513743,-0.807142,-0.270434,0.067506,-0.010376,-0.032327,1.000000,3.000000,2.000000
0.525380,-0.785914,-0.300563,-0.072986,0.007949,-0.023169,1.000000,3.000000,2.000000
0.489741,-0.804971,-0.262239,0.071783,-0.038476,0.004012,1.000000,3.000000,2.000000
0.502348,-0.757932,-0.281280,-0.102315,0.002145,-0.045469,1.000000,3.000000,2.000000
0.491923,-0.799181,-0.289957,0.057733,0.007949,-0.055553,1.000000,3.000000,2.000000
