acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.465254,-0.748765,-0.468560,-0.002388,0.122209,0.029241,4.000000,3.000000,2.000000
0.473012,-0.734533,-0.461088,0.030905,0.161018,0.034745,4.000000,3.000000,2.000000
0.451919,-0.751419,-0.419390,0.014418,0.008017,0.013675,4.000000,3.000000,2.000000
0.460890,-0.748765,-0.455062,-0.010321,0.098129,0.020396,4.000000,3.000000,2.000000
0.463557,-0.735015,-0.450000,-0.013377,0.089898,0.024065,4.000000,3.000000,2.000000
0.480285,-0.728502,-0.457713,0.035185,0.074031,0.009103,4.000000,3.000000,2.000000
0.459435,-0.767098,-0.443493,0.035498,0.033114,-0.019302,4.000000,3.000000,2.000000
0.456041,-0.718612,-0.418908,-0.012451,0.035563,-0.008310,4.000000,3.000000,2.000000
0.457253,-0.706792,-0.442528,0.075819,0.065808,-0.016863,4.000000,3.000000,2.000000
0.465739,-0.761550,-0.443734,0.106377,0.085062,-0.033055,4.000000,3.000000,2.000000
0.459435,-0.744182,-0.438672,0.037661,0.094843,-0.021451,4.000000,3.000000,2.000000
0.477861,-0.748524,-0.469283,0.065462,0.088750,-0.031839,4.000000,3.000000,2.000000
0.457253,-0.743217,-0.451447,0.043482,0.053334,-0.055364,4.000000,3.000000,2.000000
0.454344,-0.737669,-0.446385,0.050208,0.047540,-0.048654,4.000000,3.000000,2.000000
0.438827,-0.727779,-0.440118,0.030668,0.074121,-0.041026,4.000000,3.000000,2.000000
0.452404,-0.708239,-0.473139,0.109473,0.079021,-0.027288,4.000000,3.000000,2.000000
0.454586,-0.817273,-0.433369,0.198974,0.059785,-0.009270,4.000000,3.000000,2.000000
0.474467,-0.778677,-0.459642,-0.146768,0.028329,-0.044397,4.000000,3.000000,2.000000
0.471315,-0.746594,-0.492180,0.107036,-0.022067,-0.001334,4.000000,3.000000,2.000000
0.446828,-0.882404,-0.374076,-0.025513,-0.065440,-0.032794,4.000000,3.000000,2.000000
0.408521,-0.734533,-0.394805,-0.410052,0.071394,0.006302,4.000000,3.000000,2.000000
0.447798,-0.668437,-0.507606,-0.034981,0.110184,0.113814,4.000000,3.000000,2.000000
0.446343,-0.736463,-0.436744,0.037709,0.037500,0.036854,4.000000,3.000000,2.000000
0.462587,-0.757691,-0.406615,-0.014516,0.050945,0.031363,4.000000,3.000000,2.000000
0.449980,-0.757691,-0.416979,-0.016046,0.036904,0.013958,4.000000,3.000000,2.000000
0.460890,-0.739116,-0.420836,0.011441,0.058902,-0.007726,4.000000,3.000000,2.000000
0.456526,-0.757691,-0.425174,0.102772,0.047916,-0.010477,4.000000,3.000000,2.000000
0.458950,-0.788567,-0.419631,0.043533,0.022572,-0.026361,4.000000,3.000000,2.000000
0.464526,-0.781813,-0.433851,-0.001665,-0.008884,-0.014760,4.000000,3.000000,2.000000
0.438585,-0.738151,-0.412882,-0.020908,-0.023240,-0.043472,4.000000,3.000000,2.000000
