acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.777039,0.087648,-0.606187,0.060474,0.064553,0.071435,3.000000,5.000000,6.000000
0.800072,0.102701,-0.622818,0.083999,0.079837,0.051900,3.000000,5.000000,6.000000
0.793526,0.079636,-0.615587,0.032693,0.057547,0.061372,3.000000,5.000000,6.000000
0.777282,0.133050,-0.627156,0.130740,0.042585,0.058629,3.000000,5.000000,6.000000
0.775827,0.114841,-0.616792,0.046464,0.064584,0.029627,3.000000,5.000000,6.000000
0.794010,0.123096,-0.630772,0.258744,0.069782,0.029935,3.000000,5.000000,6.000000
0.775342,0.139606,-0.638244,0.011649,0.013888,0.054369,3.000000,5.000000,6.000000
0.751582,0.130137,-0.571720,0.256911,-0.002606,0.014968,3.000000,5.000000,6.000000
0.754249,0.180395,-0.613418,0.307918,0.099104,0.023826,3.000000,5.000000,6.000000
0.708427,0.008012,-0.624023,0.016841,0.010223,-0.015880,3.000000,5.000000,6.000000
0.540897,-0.022675,-0.437949,0.301199,0.308325,0.392483,3.000000,5.000000,6.000000
0.646603,-0.093837,-0.463498,0.583113,0.741734,1.094367,3.000000,5.000000,6.000000
0.664544,-0.277410,-0.342261,-0.091282,1.096952,1.878413,3.000000,5.000000,6.000000
0.588901,0.061912,-0.576781,-1.143192,1.682161,2.502717,3.000000,5.000000,6.000000
0.390338,0.623249,-0.919765,-0.999028,2.056316,2.540591,3.000000,5.000000,6.000000
0.151286,0.851231,-1.262267,-0.745824,1.951858,1.801138,3.000000,5.000000,6.000000
0.068612,0.793446,-1.314088,-0.100139,0.932629,0.951119,3.000000,5.000000,6.000000
0.276146,0.420517,-1.034013,0.040665,0.083221,0.157605,3.000000,5.000000,6.000000
0.330939,0.314174,-0.942663,-0.024392,-0.046893,-0.071469,3.000000,5.000000,6.000000
0.303542,0.365403,-0.896867,-0.305087,-0.101264,-0.135005,3.000000,5.000000,6.000000
0.330211,0.268043,-0.865534,0.050131,-0.075302,-0.074835,3.000000,5.000000,6.000000
0.413613,0.374629,-0.894698,-0.275154,-0.185564,-0.111792,3.000000,5.000000,6.000000
0.188865,0.424401,-0.818774,0.184522,-0.093934,-0.057731,3.000000,5.000000,6.000000
-0.093057,0.370501,-1.251903,-0.411988,-0.375543,-0.379351,3.000000,5.000000,6.000000
0.531926,2.317212,-1.712026,-2.346598,-1.507171,-2.287999,3.000000,5.000000,6.000000
0.315180,-0.185744,-1.932326,8.139515,-2.227992,-3.298065,3.000000,5.000000,6.000000
0.477376,-1.340492,-0.098099,-1.271170,-2.785406,-5.057052,3.000000,5.000000,6.000000
0.383065,-0.693524,-0.060498,-1.642576,-1.808938,-2.391236,3.000000,5.000000,6.000000
0.733884,0.014082,-0.441805,-0.453527,-0.404559,-0.350030,3.000000,5.000000,6.000000
0.703578,0.148589,-0.511463,0.426424,-0.024906,0.040008,3.000000,5.000000,6.000000
0.641512,-0.418044,-0.322496,0.236445,0.281443,0.519537,3.000000,5.000000,6.000000
0.693880,-0.127609,-0.227290,-1.018577,0.960114,1.493562,3.000000,5.000000,6.000000
0.901899,0.287466,-0.809856,-0.515835,1.457358,1.649943,3.000000,5.000000,6.000000
0.802738,0.713567,-1.097162,-0.546684,0.963169,0.860705,3.000000,5.000000,6.000000
0.740915,0.341124,-0.822390,0.358313,0.114371,0.301764,3.000000,5.000000,6.000000
0.694608,0.215357,-0.678013,-0.004847,-0.056671,-0.035739,3.000000,5.000000,6.000000
0.660180,0.200061,-0.683557,-0.005454,-0.000784,-0.030249,3.000000,5.000000,6.000000
0.636663,0.209530,-0.646921,0.045553,0.019375,-0.042774,3.000000,5.000000,6.000000
0.669393,0.329227,-0.715855,0.089229,0.063968,0.019534,3.000000,5.000000,6.000000
0.610964,0.198119,-0.643305,-0.135874,0.037701,0.052826,3.000000,5.000000,6.000000
0.621389,0.306161,-0.721881,0.512559,0.148878,0.159728,3.000000,5.000000,6.000000
0.648058,0.167284,-0.613659,-0.073872,0.082905,0.128879,3.000000,5.000000,6.000000
0.604903,0.058756,-0.534842,0.495455,0.392919,0.549154,3.000000,5.000000,6.000000
0.587446,-0.025570,-0.507124,-0.433060,0.823273,0.871691,3.000000,5.000000,6.000000
0.544291,0.390410,-0.790092,-0.137096,1.135120,1.295021,3.000000,5.000000,6.000000
0.413370,0.505494,-0.995207,-0.778505,1.143672,0.945606,3.000000,5.000000,6.000000
0.443191,0.662095,-1.075711,0.178721,0.582898,0.714393,3.000000,5.000000,6.000000
0.465011,0.487770,-0.914945,0.461246,0.224625,0.168585,3.000000,5.000000,6.000000
0.511803,0.196176,-0.709588,0.321053,0.143380,0.044274,3.000000,5.000000,6.000000
0.544534,0.056813,-0.663070,0.242251,0.417964,0.356732,3.000000,5.000000,6.000000
0.544534,0.045645,-0.684521,-0.427257,0.748137,0.735163,3.000000,5.000000,6.000000
0.397611,0.286495,-0.804794,-0.656942,1.152835,1.127949,3.000000,5.000000,6.000000
