acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.777766,0.183066,-0.654393,0.504439,-0.140839,-0.399616,1.000000,5.000000,6.000000
0.774857,0.122610,-0.625228,0.491305,-0.121902,-0.446653,1.000000,5.000000,6.000000
0.764190,0.093961,-0.633905,0.361496,-0.086166,-0.407252,1.000000,5.000000,6.000000
0.776069,0.076237,-0.612213,0.356609,-0.036381,-0.426189,1.000000,5.000000,6.000000
0.763462,0.112413,-0.599679,0.324233,-0.025996,-0.390759,1.000000,5.000000,6.000000
0.780191,0.075751,-0.610525,0.388680,-0.009808,-0.329672,1.000000,5.000000,6.000000
0.763947,0.075508,-0.585458,0.290025,0.016764,-0.231628,1.000000,5.000000,6.000000
0.799587,0.078908,-0.581120,0.363023,0.043948,-0.177567,1.000000,5.000000,6.000000
0.782858,0.094689,-0.625228,0.351112,0.079073,-0.146107,1.000000,5.000000,6.000000
0.795465,0.128437,-0.579915,0.399370,0.098315,-0.144886,1.000000,5.000000,6.000000
0.812436,0.110228,-0.611248,0.637302,0.161540,-0.157714,1.000000,5.000000,6.000000
0.785767,0.111199,-0.602812,0.550864,0.169786,-0.110983,1.000000,5.000000,6.000000
0.797647,0.104158,-0.615346,0.528262,0.130691,-0.087770,1.000000,5.000000,6.000000
0.770736,0.095417,-0.577263,0.246043,0.084571,-0.098765,1.000000,5.000000,6.000000
0.797162,0.139849,-0.607874,0.187094,0.086098,-0.094184,1.000000,5.000000,6.000000
0.802011,0.169712,-0.605223,0.142501,0.048224,-0.115564,1.000000,5.000000,6.000000
0.785040,0.109499,-0.579674,0.183429,0.060441,-0.133279,1.000000,5.000000,6.000000
0.802011,0.150531,-0.612695,0.151664,0.039672,-0.158630,1.000000,5.000000,6.000000
0.790859,0.158058,-0.588351,0.162965,0.049140,-0.151300,1.000000,5.000000,6.000000
0.782131,0.124553,-0.596305,0.193508,0.051584,-0.153743,1.000000,5.000000,6.000000
0.784312,0.151017,-0.604500,0.202977,0.039672,-0.133585,1.000000,5.000000,6.000000
0.783585,0.133293,-0.602812,0.150442,0.047308,-0.134806,1.000000,5.000000,6.000000
0.775100,0.134264,-0.607874,0.173356,0.029597,-0.110383,1.000000,5.000000,6.000000
0.796920,0.143005,-0.606428,0.142507,0.043647,-0.110383,1.000000,5.000000,6.000000
0.774615,0.152474,-0.613900,0.116240,0.022877,-0.084421,1.000000,5.000000,6.000000
0.779221,0.135721,-0.604500,0.129395,0.036015,-0.074356,1.000000,5.000000,6.000000
0.794980,0.153202,-0.617515,0.089098,0.036632,-0.055736,1.000000,5.000000,6.000000
0.765887,0.145676,-0.590279,0.082396,0.016784,-0.028866,1.000000,5.000000,6.000000
0.784070,0.145918,-0.614864,0.109892,0.031141,-0.032229,1.000000,5.000000,6.000000
0.779221,0.139606,-0.601366,0.063483,0.015262,-0.021543,1.000000,5.000000,6.000000
0.798859,0.158301,-0.613418,0.075100,0.035118,-0.014826,1.000000,5.000000,6.000000
0.768069,0.122853,-0.598233,0.056482,0.011605,-0.021549,1.000000,5.000000,6.000000
0.804920,0.176753,-0.600161,0.043049,0.043984,-0.003225,1.000000,5.000000,6.000000
0.768554,0.154173,-0.606187,0.054055,0.023222,-0.004753,1.000000,5.000000,6.000000
0.791828,0.128194,-0.602089,0.066586,0.029029,-0.009642,1.000000,5.000000,6.000000
0.788434,0.198604,-0.604500,0.042159,0.027200,0.017542,1.000000,5.000000,6.000000
0.768069,0.133050,-0.611248,0.047049,0.040947,0.005631,1.000000,5.000000,6.000000
0.776554,0.168012,-0.609561,0.095006,0.051030,0.006548,1.000000,5.000000,6.000000
0.780676,0.152231,-0.605946,0.067838,0.029657,-0.010250,1.000000,5.000000,6.000000
0.773887,0.211230,-0.608597,0.038839,0.073339,0.043507,1.000000,5.000000,6.000000
0.770251,0.130137,-0.667649,0.153377,0.019888,0.016628,1.000000,5.000000,6.000000
0.802011,0.174325,-0.597992,0.124971,0.054708,0.076493,1.000000,5.000000,6.000000
0.778979,0.158058,-0.617274,0.001577,0.037298,0.017545,1.000000,5.000000,6.000000
0.789646,0.158544,-0.610284,0.157653,0.041272,0.037399,1.000000,5.000000,6.000000
0.791586,0.196176,-0.596546,-0.059195,0.031807,-0.034072,1.000000,5.000000,6.000000
0.806860,0.150289,-0.611731,0.102684,0.030587,-0.034990,1.000000,5.000000,6.000000
0.790131,0.049772,-0.582566,-0.001774,-0.005759,-0.064922,1.000000,5.000000,6.000000
0.920082,0.379485,-0.691029,-0.449844,0.024173,0.031595,1.000000,5.000000,6.000000
0.708669,0.142762,-0.544243,1.073654,-0.048520,-0.099130,1.000000,5.000000,6.000000
0.555201,-0.803282,-0.383476,0.728820,0.210487,0.006244,1.000000,5.000000,6.000000
0.521259,-0.412979,-0.129673,-1.944937,0.934668,1.488814,1.000000,5.000000,6.000000
0.841287,0.463977,-0.830102,-1.137984,2.028117,2.607613,1.000000,5.000000,6.000000
0.272267,1.175844,-1.253590,-2.917739,1.707718,1.848614,1.000000,5.000000,6.000000
0.465496,0.598727,-1.324934,0.687587,0.665582,0.981796,1.000000,5.000000,6.000000
0.500408,0.244249,-0.828897,0.109403,-0.062875,0.035260,1.000000,5.000000,6.000000
0.512046,0.242307,-0.826728,-0.021018,-0.067157,-0.103109,1.000000,5.000000,6.000000
0.487316,0.249834,-0.810820,-0.043318,-0.067780,-0.069222,1.000000,5.000000,6.000000
0.558595,0.205888,-0.798287,-0.065315,-0.037246,-0.064347,1.000000,5.000000,6.000000
0.517864,0.268286,-0.814195,-0.106549,-0.039690,-0.013645,1.000000,5.000000,6.000000
0.492408,0.244735,-0.745501,-0.006686,-0.032367,0.009872,1.000000,5.000000,6.000000
0.477861,0.278726,-0.816846,-0.089458,-0.031756,-0.015479,1.000000,5.000000,6.000000
0.468405,0.189378,-0.775148,-0.010053,0.021692,0.014758,1.000000,5.000000,6.000000
0.511803,0.306647,-0.808651,0.042786,0.116683,0.043775,1.000000,5.000000,6.000000
0.521744,0.173354,-0.861677,0.138390,0.017122,-0.036245,1.000000,5.000000,6.000000
0.355426,0.390410,-0.749358,-0.108694,0.035449,0.125021,1.000000,5.000000,6.000000
0.462587,0.771109,-1.278657,-0.766595,-0.312133,-0.079924,1.000000,5.000000,6.000000
0.320998,1.752477,-1.509803,4.835344,-1.289823,-1.708797,1.000000,5.000000,6.000000
0.615570,-0.923654,-0.721881,1.955115,-1.699408,-3.124477,1.000000,5.000000,6.000000
0.534593,-0.757449,-0.361302,-1.985883,-1.706128,-2.655638,1.000000,5.000000,6.000000
0.712306,-0.065131,-0.354312,-0.508505,-0.437055,-0.672464,1.000000,5.000000,6.000000
0.793768,0.109499,-0.578469,0.017145,-0.021667,0.037973,1.000000,5.000000,6.000000
0.806860,0.089590,-0.600643,-0.021946,0.009180,0.022707,1.000000,5.000000,6.000000
0.806375,0.078665,-0.599679,0.025088,-0.021973,0.013548,1.000000,5.000000,6.000000
0.802738,0.095175,-0.584735,-0.045161,-0.034196,-0.013329,1.000000,5.000000,6.000000
0.830620,0.080607,-0.604018,0.004316,-0.040920,-0.018829,1.000000,5.000000,6.000000
0.806375,0.069924,-0.576540,0.052882,-0.060781,-0.013334,1.000000,5.000000,6.000000
0.804920,0.117026,-0.586905,-0.077532,-0.033913,-0.022500,1.000000,5.000000,6.000000
0.817285,0.050744,-0.593412,0.064182,-0.033612,-0.068932,1.000000,5.000000,6.000000
0.804678,0.116298,-0.579433,-0.022867,-0.039416,-0.042054,1.000000,5.000000,6.000000
0.779464,0.084006,-0.575817,0.008286,-0.021096,-0.055806,1.000000,5.000000,6.000000
0.812921,0.094446,-0.582084,0.020198,0.004252,-0.047874,1.000000,5.000000,6.000000
0.796435,0.074052,-0.575817,-0.004233,0.000893,-0.039024,1.000000,5.000000,6.000000
0.809527,0.107314,-0.585699,0.030892,0.018609,-0.037503,1.000000,5.000000,6.000000
0.802738,0.063612,-0.575576,0.041590,0.029913,-0.045757,1.000000,5.000000,6.000000
0.780676,0.123339,-0.586905,0.015937,0.046412,0.005244,1.000000,5.000000,6.000000
0.786979,0.062640,-0.546894,0.109408,0.048253,0.030596,1.000000,5.000000,6.000000
0.838620,0.113141,-0.583048,0.072768,0.091023,0.083138,1.000000,5.000000,6.000000
0.779706,0.092504,-0.590038,0.172339,0.054677,0.081610,1.000000,5.000000,6.000000
0.794980,0.126738,-0.567140,0.112498,0.135934,0.136602,1.000000,5.000000,6.000000
0.815588,0.076237,-0.579674,0.300950,0.171364,0.045888,1.000000,5.000000,6.000000
0.836438,0.092261,-0.600402,0.062713,0.131658,0.087733,1.000000,5.000000,6.000000
0.798617,0.074537,-0.599679,0.155572,-0.004552,0.017184,1.000000,5.000000,6.000000
0.799102,0.115326,-0.598715,-0.026763,-0.013718,0.056588,1.000000,5.000000,6.000000
0.839590,0.154659,-0.617274,-0.011186,-0.050370,-0.004804,1.000000,5.000000,6.000000
0.812194,0.238908,-0.618961,-0.138552,-0.053118,-0.003888,1.000000,5.000000,6.000000
0.807830,0.176267,-0.623541,0.424060,-0.059230,-0.047871,1.000000,5.000000,6.000000
0.814133,0.043217,-0.550268,-0.007211,-0.147500,-0.090937,1.000000,5.000000,6.000000
0.790374,0.012382,-0.562802,-0.078685,-0.026565,-0.068042,1.000000,5.000000,6.000000
0.816558,0.175053,-0.595823,-0.010274,0.074226,-0.057357,1.000000,5.000000,6.000000
0.814618,0.159758,-0.586423,-0.080219,0.006121,-0.069885,1.000000,5.000000,6.000000
0.784797,0.065311,-0.552437,0.048366,-0.023805,-0.086385,1.000000,5.000000,6.000000
0.794980,0.172868,-0.584012,-0.077778,-0.023805,-0.012164,1.000000,5.000000,6.000000
0.834014,0.082549,-0.580879,0.109148,-0.017699,-0.053093,1.000000,5.000000,6.000000
0.788677,0.113384,-0.557740,-0.093659,-0.068706,-0.035683,1.000000,5.000000,6.000000
0.812436,0.159515,-0.591966,0.112202,0.070266,-0.020106,1.000000,5.000000,6.000000
0.806133,0.160000,-0.555330,-0.048140,0.013461,0.003716,1.000000,5.000000,6.000000
0.770493,0.108771,-0.557981,0.102748,0.003995,0.028152,1.000000,5.000000,6.000000
0.794010,0.151260,-0.559668,0.116195,0.026292,0.038233,1.000000,5.000000,6.000000
0.779464,0.109985,-0.552679,0.117427,0.060502,0.064504,1.000000,5.000000,6.000000
0.808557,0.062640,-0.597028,0.173633,0.114572,0.107879,1.000000,5.000000,6.000000
0.747218,0.249348,-0.588833,-0.001685,0.116099,0.121623,1.000000,5.000000,6.000000
0.727338,-0.034737,-0.513632,0.946683,0.248963,0.118264,1.000000,5.000000,6.000000
