acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.820679,0.048559,-0.559909,-0.042813,-0.012759,0.037120,2.000000,5.000000,6.000000
0.844197,0.045159,-0.570274,-0.072143,0.001595,0.027962,2.000000,5.000000,6.000000
0.819710,0.056085,-0.548822,-0.109719,-0.009708,0.067979,2.000000,5.000000,6.000000
0.837166,0.049287,-0.549786,-0.095993,-0.026814,0.065242,2.000000,5.000000,6.000000
0.835954,0.080607,-0.545930,-0.084099,-0.030484,0.075637,2.000000,5.000000,6.000000
0.834256,0.037147,-0.537012,-0.115265,-0.038735,0.073207,2.000000,5.000000,6.000000
0.838620,0.057299,-0.547135,-0.041675,-0.030495,0.043593,2.000000,5.000000,6.000000
0.823831,0.073081,-0.529058,-0.060009,-0.014312,0.034436,2.000000,5.000000,6.000000
0.845651,0.023551,-0.538699,0.013290,0.003096,0.002674,2.000000,5.000000,6.000000
0.867714,0.073081,-0.547617,-0.041996,0.011955,0.001147,2.000000,5.000000,6.000000
0.839590,0.047587,-0.524478,0.080178,-0.009425,-0.001907,2.000000,5.000000,6.000000
0.849773,0.066525,-0.518694,0.059726,0.032420,-0.025122,2.000000,5.000000,6.000000
0.864320,0.052200,-0.540145,0.175804,0.070911,-0.041314,2.000000,5.000000,6.000000
0.863592,0.022094,-0.514837,0.128768,0.075493,-0.041008,2.000000,5.000000,6.000000
0.872805,0.079879,-0.543760,0.142828,0.094436,-0.119203,2.000000,5.000000,6.000000
0.839105,0.064340,-0.541591,0.235069,0.069391,-0.189758,2.000000,5.000000,6.000000
0.797889,0.108285,-0.525683,0.262864,0.106653,-0.209305,2.000000,5.000000,6.000000
0.815831,0.095417,-0.587387,0.518205,0.102377,-0.166850,2.000000,5.000000,6.000000
0.746249,0.008255,-0.559909,0.426270,0.031822,-0.169905,2.000000,5.000000,6.000000
0.821407,0.065554,-0.550991,0.341971,0.043734,-0.169599,2.000000,5.000000,6.000000
0.828680,0.027921,-0.550268,0.329142,0.061755,-0.193728,2.000000,5.000000,6.000000
0.841045,0.085949,-0.545207,0.295850,0.051676,-0.211749,2.000000,5.000000,6.000000
0.824801,0.076480,-0.550509,0.314176,0.048621,-0.204113,2.000000,5.000000,6.000000
0.844439,0.050501,-0.558222,0.367627,0.041291,-0.234962,2.000000,5.000000,6.000000
0.824316,0.094204,-0.542314,0.366100,0.026019,-0.229464,2.000000,5.000000,6.000000
0.836196,0.055842,-0.563284,0.435127,0.038237,-0.245652,2.000000,5.000000,6.000000
0.840802,0.075508,-0.547376,0.422910,0.031822,-0.269476,2.000000,5.000000,6.000000
0.823346,0.070167,-0.556053,0.389923,0.045567,-0.272530,2.000000,5.000000,6.000000
0.866987,0.061912,-0.557258,0.467503,0.024187,-0.260923,2.000000,5.000000,6.000000
0.839590,0.082307,-0.588351,0.393894,0.058701,-0.254509,2.000000,5.000000,6.000000
0.799587,0.065554,-0.569551,0.305624,0.027852,-0.213887,2.000000,5.000000,6.000000
0.815103,0.061669,-0.572684,0.321812,0.049538,-0.208694,2.000000,5.000000,6.000000
0.828195,0.087648,-0.588592,0.211856,0.040680,-0.177846,2.000000,5.000000,6.000000
0.761523,0.063854,-0.562561,0.159016,0.044956,-0.147913,2.000000,5.000000,6.000000
0.807345,0.066525,-0.573648,0.158711,0.021743,-0.091408,2.000000,5.000000,6.000000
0.824559,0.083763,-0.560874,0.120540,0.009221,-0.055373,2.000000,5.000000,6.000000
0.749158,0.095175,-0.549786,0.034734,0.035185,-0.025755,2.000000,5.000000,6.000000
0.815346,0.085949,-0.568104,0.170346,0.038544,-0.021784,2.000000,5.000000,6.000000
0.830135,0.073323,-0.561597,0.051852,0.031216,-0.015678,2.000000,5.000000,6.000000
0.819467,0.106829,-0.569069,0.134628,0.055958,0.027998,2.000000,5.000000,6.000000
0.779221,0.082792,-0.537253,0.094032,0.019010,0.037471,2.000000,5.000000,6.000000
0.867714,0.116298,-0.572925,0.171917,0.088343,0.056713,2.000000,5.000000,6.000000
0.809284,0.088619,-0.615105,0.090061,0.049248,0.066793,2.000000,5.000000,6.000000
0.768554,0.138149,-0.542073,0.076325,0.112782,0.149571,2.000000,5.000000,6.000000
0.797889,0.226768,-0.629085,0.227208,0.088348,0.069242,2.000000,5.000000,6.000000
0.644421,-0.226029,-0.310445,0.310897,0.121945,0.143157,2.000000,5.000000,6.000000
0.582597,-0.148354,-0.333825,-0.808514,0.698296,0.873751,2.000000,5.000000,6.000000
0.872078,0.213657,-0.639931,-0.285308,1.247159,1.483089,2.000000,5.000000,6.000000
0.775827,0.539971,-0.918319,-1.192748,0.978073,1.052735,2.000000,5.000000,6.000000
0.781403,0.468590,-1.021720,0.290433,0.376065,0.599167,2.000000,5.000000,6.000000
0.732672,0.135235,-0.718747,0.020736,0.000688,-0.032162,2.000000,5.000000,6.000000
0.723944,0.203703,-0.724773,-0.023246,-0.031993,-0.103633,2.000000,5.000000,6.000000
0.687577,0.219727,-0.725737,-0.278285,-0.039021,-0.105169,2.000000,5.000000,6.000000
0.698972,0.218513,-0.724050,0.225679,-0.042380,-0.120135,2.000000,5.000000,6.000000
0.698972,0.133536,-0.689101,-0.460017,-0.156612,-0.165950,2.000000,5.000000,6.000000
0.665999,0.396723,-0.728870,0.074185,-0.050627,-0.096311,2.000000,5.000000,6.000000
0.797162,0.359090,-0.925791,-0.349450,-0.280007,-0.260329,2.000000,5.000000,6.000000
0.605145,0.889349,-0.865775,1.900061,-0.863689,-1.012915,2.000000,5.000000,6.000000
